"","X","Var1","Var2","id_1","id_2","name_1","name_2","Species_1","Species_2","dyad_id","overlap","year","Month","YearMon","season","label","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","dyad_species","Month_categorical","Year_categorical","average_rainfall","overlap_binary","threeseason","fourseason","Month_factor"
"12",14,"Jesus","Priya2","Jesus","Priya","Dog 15","Cheetah 4","Dog","Cheetah","Jesus-Priya",0,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Cheetah-Dog","Apr",2012,30.75,0,"Cold Dry","Cold Wet",4
"13",15,"Priya2","Yolo1","Priya","Yolo","Cheetah 4","Dog 29","Cheetah","Dog","Priya-Yolo",0.0284634760837064,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Cheetah-Dog","Apr",2012,30.75,1,"Cold Dry","Cold Wet",4
"14",16,"Priya2","SaF03_1","Priya","SaF03","Cheetah 4","Lion 10","Cheetah","Lion","Priya-SaF03",0,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Cheetah-Lion","Apr",2012,30.75,0,"Cold Dry","Cold Wet",4
"15",17,"SaF03_1","Yolo1","SaF03","Yolo","Lion 10","Dog 29","Lion","Dog","SaF03-Yolo",0.0360214798542747,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Lion","Apr",2012,30.75,1,"Cold Dry","Cold Wet",4
"16",18,"Bobedi","Chalak","Bobedi","Chalak","Dog 7","Leopard 1","Dog","Leopard","Bobedi-Chalak",0,2012,1,"2012-01","Wet","2012 Wet 2",-0.42,0.46,0.6,0.65,1.46,78,337,372.5,1659.25,620.75,"Dog-Leopard","Jan",2012,138.971428571429,0,"Wet","Hot Wet",1
"17",19,"Bobedi","Goose1","Bobedi","Goose","Dog 7","Leopard 3","Dog","Leopard","Bobedi-Goose",0,2012,1,"2012-01","Wet","2012 Wet 2",-0.42,0.46,0.6,0.65,1.46,78,337,372.5,1659.25,620.75,"Dog-Leopard","Jan",2012,138.971428571429,0,"Wet","Hot Wet",1
"18",20,"Bobedi","Krystal","Bobedi","Krystal","Dog 7","Lion 7","Dog","Lion","Bobedi-Krystal",0,2012,1,"2012-01","Wet","2012 Wet 2",-0.42,0.46,0.6,0.65,1.46,78,337,372.5,1659.25,620.75,"Dog-Lion","Jan",2012,138.971428571429,0,"Wet","Hot Wet",1
"19",21,"Bobedi","SaF03_1","Bobedi","SaF03","Dog 7","Lion 10","Dog","Lion","Bobedi-SaF03",0.0074381805836465,2012,1,"2012-01","Wet","2012 Wet 2",-0.42,0.46,0.6,0.65,1.46,78,337,372.5,1659.25,620.75,"Dog-Lion","Jan",2012,138.971428571429,1,"Wet","Hot Wet",1
"20",22,"Chalak","Krystal","Chalak","Krystal","Leopard 1","Lion 7","Leopard","Lion","Chalak-Krystal",0,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May",2012,0,0,"Cold Dry","Cold Wet",5
"21",23,"Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.0751094616309128,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May",2012,0,1,"Cold Dry","Cold Wet",5
"22",24,"Goose1","Krystal","Goose","Krystal","Leopard 3","Lion 7","Leopard","Lion","Goose-Krystal",0,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May",2012,0,0,"Cold Dry","Cold Wet",5
"23",25,"Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May",2012,0,0,"Cold Dry","Cold Wet",5
"24",26,"Bongwe1","Qamar2","Bongwe","Qamar","Dog 8","Cheetah 5","Dog","Cheetah","Bongwe-Qamar",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"25",27,"Bongwe1","Chalak","Bongwe","Chalak","Dog 8","Leopard 1","Dog","Leopard","Bongwe-Chalak",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Leopard","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"26",28,"Bongwe1","SaF03_1","Bongwe","SaF03","Dog 8","Lion 10","Dog","Lion","Bongwe-SaF03",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"27",29,"Bongwe1","Doohan","Bongwe","Doohan","Dog 8","Lion 4","Dog","Lion","Bongwe-Doohan",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"28",30,"Bongwe1","SaF07","Bongwe","SaF07","Dog 8","Lion 12","Dog","Lion","Bongwe-SaF07",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"29",31,"Bongwe1","Ferrari","Bongwe","Ferrari","Dog 8","Cheetah 1","Dog","Cheetah","Bongwe-Ferrari",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"30",32,"Bongwe1","Lea2","Bongwe","Lea","Dog 8","Cheetah 3","Dog","Cheetah","Bongwe-Lea",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"31",33,"Bongwe1","Goose1","Bongwe","Goose","Dog 8","Leopard 3","Dog","Leopard","Bongwe-Goose",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Leopard","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"32",34,"Bongwe1","Krystal","Bongwe","Krystal","Dog 8","Lion 7","Dog","Lion","Bongwe-Krystal",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"33",35,"Bongwe1","Chloe1","Bongwe","Chloe","Dog 8","Lion 3","Dog","Lion","Bongwe-Chloe",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"34",36,"Bongwe1","Fredericks","Bongwe","Fredericks","Dog 8","Cheetah 2","Dog","Cheetah","Bongwe-Fredericks",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"35",39,"Chalak","MJ","Chalak","MJ","Leopard 1","Dog 20","Leopard","Dog","Chalak-MJ",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"36",40,"Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.158222553914821,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,1,"Cold Dry","Cold Dry",6
"37",42,"Chalak","Yolo2","Chalak","Yolo","Leopard 1","Dog 29","Leopard","Dog","Chalak-Yolo",0.0848642544456981,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun",2012,6.53571428571429,1,"Cold Dry","Cold Dry",6
"38",43,"Chalak","SaF07","Chalak","SaF07","Leopard 1","Lion 12","Leopard","Lion","Chalak-SaF07",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"39",44,"Chalak","Kubu","Chalak","Kubu","Leopard 1","Dog 18","Leopard","Dog","Chalak-Kubu",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"40",46,"Chalak","Doohan","Chalak","Doohan","Leopard 1","Lion 4","Leopard","Lion","Chalak-Doohan",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"41",47,"Chalak","Krystal","Chalak","Krystal","Leopard 1","Lion 7","Leopard","Lion","Chalak-Krystal",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"42",48,"Chalak","Chloe1","Chalak","Chloe","Leopard 1","Lion 3","Leopard","Lion","Chalak-Chloe",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"43",49,"Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"44",50,"Chloe1","Lea2","Chloe","Lea","Lion 3","Cheetah 3","Lion","Cheetah","Chloe-Lea",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"45",51,"Chloe1","Goose1","Chloe","Goose","Lion 3","Leopard 3","Lion","Leopard","Chloe-Goose",0.0504768428663103,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug",2012,0,1,"Hot Dry","Cold Dry",8
"46",52,"Chloe1","Kubu","Chloe","Kubu","Lion 3","Dog 18","Lion","Dog","Chloe-Kubu",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"47",53,"Chloe1","Fredericks","Chloe","Fredericks","Lion 3","Cheetah 2","Lion","Cheetah","Chloe-Fredericks",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"48",54,"Chloe1","Ferrari","Chloe","Ferrari","Lion 3","Cheetah 1","Lion","Cheetah","Chloe-Ferrari",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"49",55,"Chloe1","MJ","Chloe","MJ","Lion 3","Dog 20","Lion","Dog","Chloe-MJ",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"50",56,"Chloe1","Yolo2","Chloe","Yolo","Lion 3","Dog 29","Lion","Dog","Chloe-Yolo",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"51",57,"Doohan","Lea2","Doohan","Lea","Lion 4","Cheetah 3","Lion","Cheetah","Doohan-Lea",0.0375497521555364,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,1,"Hot Dry","Cold Dry",8
"52",58,"Doohan","Fredericks","Doohan","Fredericks","Lion 4","Cheetah 2","Lion","Cheetah","Doohan-Fredericks",0.0684881188267258,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,1,"Hot Dry","Cold Dry",8
"53",59,"Doohan","MJ","Doohan","MJ","Lion 4","Dog 20","Lion","Dog","Doohan-MJ",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"54",60,"Doohan","Ferrari","Doohan","Ferrari","Lion 4","Cheetah 1","Lion","Cheetah","Doohan-Ferrari",0.12897611818047,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,1,"Hot Dry","Cold Dry",8
"55",61,"Doohan","Qamar2","Doohan","Qamar","Lion 4","Cheetah 5","Lion","Cheetah","Doohan-Qamar",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"56",62,"Doohan","Goose1","Doohan","Goose","Lion 4","Leopard 3","Lion","Leopard","Doohan-Goose",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"57",63,"Doohan","Kubu","Doohan","Kubu","Lion 4","Dog 18","Lion","Dog","Doohan-Kubu",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"58",64,"Doohan","Yolo2","Doohan","Yolo","Lion 4","Dog 29","Lion","Dog","Doohan-Yolo",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"59",65,"Ferrari","Kubu","Ferrari","Kubu","Cheetah 1","Dog 18","Cheetah","Dog","Ferrari-Kubu",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Dog","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"60",66,"Ferrari","MJ","Ferrari","MJ","Cheetah 1","Dog 20","Cheetah","Dog","Ferrari-MJ",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Dog","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"61",68,"Ferrari","Krystal","Ferrari","Krystal","Cheetah 1","Lion 7","Cheetah","Lion","Ferrari-Krystal",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"62",69,"Ferrari","Yolo2","Ferrari","Yolo","Cheetah 1","Dog 29","Cheetah","Dog","Ferrari-Yolo",0.0273018208877792,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Dog","Jun",2012,6.53571428571429,1,"Cold Dry","Cold Dry",6
"63",70,"Ferrari","SaF07","Ferrari","SaF07","Cheetah 1","Lion 12","Cheetah","Lion","Ferrari-SaF07",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"64",71,"Ferrari","SaF03_1","Ferrari","SaF03","Cheetah 1","Lion 10","Cheetah","Lion","Ferrari-SaF03",0.0540984794361407,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,1,"Cold Dry","Cold Dry",6
"65",72,"Fredericks","SaF07","Fredericks","SaF07","Cheetah 2","Lion 12","Cheetah","Lion","Fredericks-SaF07",0.0709153270808037,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,1,"Hot Dry","Cold Dry",8
"66",74,"Fredericks","Kubu","Fredericks","Kubu","Cheetah 2","Dog 18","Cheetah","Dog","Fredericks-Kubu",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"67",75,"Fredericks","MJ","Fredericks","MJ","Cheetah 2","Dog 20","Cheetah","Dog","Fredericks-MJ",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"68",76,"Fredericks","Yolo2","Fredericks","Yolo","Cheetah 2","Dog 29","Cheetah","Dog","Fredericks-Yolo",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"69",77,"Fredericks","Krystal","Fredericks","Krystal","Cheetah 2","Lion 7","Cheetah","Lion","Fredericks-Krystal",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"70",78,"Fredericks","SaF03_1","Fredericks","SaF03","Cheetah 2","Lion 10","Cheetah","Lion","Fredericks-SaF03",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"71",79,"Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0640120242060176,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,1,"Cold Dry","Cold Dry",6
"72",80,"Goose1","Krystal","Goose","Krystal","Leopard 3","Lion 7","Leopard","Lion","Goose-Krystal",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"73",82,"Goose1","SaF07","Goose","SaF07","Leopard 3","Lion 12","Leopard","Lion","Goose-SaF07",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"74",83,"Goose1","Kubu","Goose","Kubu","Leopard 3","Dog 18","Leopard","Dog","Goose-Kubu",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"75",84,"Goose1","MJ","Goose","MJ","Leopard 3","Dog 20","Leopard","Dog","Goose-MJ",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"76",85,"Goose1","Yolo2","Goose","Yolo","Leopard 3","Dog 29","Leopard","Dog","Goose-Yolo",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"77",87,"Krystal","Lea2","Krystal","Lea","Lion 7","Cheetah 3","Lion","Cheetah","Krystal-Lea",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"78",88,"Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.0373682474307062,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,1,"Cold Dry","Cold Dry",6
"79",89,"Krystal","Kubu","Krystal","Kubu","Lion 7","Dog 18","Lion","Dog","Krystal-Kubu",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"80",90,"Krystal","Yolo2","Krystal","Yolo","Lion 7","Dog 29","Lion","Dog","Krystal-Yolo",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"81",91,"Krystal","MJ","Krystal","MJ","Lion 7","Dog 20","Lion","Dog","Krystal-MJ",0,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Lion","Jun",2012,6.53571428571429,0,"Cold Dry","Cold Dry",6
"82",92,"Kubu","Qamar2","Kubu","Qamar","Dog 18","Cheetah 5","Dog","Cheetah","Kubu-Qamar",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
"83",93,"Kubu","Lea2","Kubu","Lea","Dog 18","Cheetah 3","Dog","Cheetah","Kubu-Lea",0,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug",2012,0,0,"Hot Dry","Cold Dry",8
