"","Var1","Var2","id_1","id_2","name_1","name_2","Species_1","Species_2","dyad_id","overlap","year","Month","YearMon","season","label","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","dyad_species","Month_categorical","Year_categorical","average_rainfall","threeseason","fourseason","Month_factor"
"11","Priya2","SaF03_1","Priya","SaF03","Cheetah 4","Lion 10","Cheetah","Lion","Priya-SaF03",0.113462430804025,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Cheetah-Lion","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"12","SaF03_1","Yolo1","SaF03","Yolo","Lion 10","Dog 29","Lion","Dog","SaF03-Yolo",0.301671695486198,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Lion","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"13","Bobedi","SaF03_1","Bobedi","SaF03","Dog 7","Lion 10","Dog","Lion","Bobedi-SaF03",0.0874435996602606,2012,1,"2012-01","Wet","2012 Wet 2",-0.42,0.46,0.6,0.65,1.46,78,337,372.5,1659.25,620.75,"Dog-Lion","Jan","2012",138.971428571429,"Wet","Hot Wet","1"
"14","Chalak","Krystal","Chalak","Krystal","Leopard 1","Lion 7","Leopard","Lion","Chalak-Krystal",0.166265964732226,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May","2012",0,"Cold Dry","Cold Wet","5"
"15","Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.460030330318343,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May","2012",0,"Cold Dry","Cold Wet","5"
"16","Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.208453229164844,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May","2012",0,"Cold Dry","Cold Wet","5"
"17","Bongwe1","Qamar2","Bongwe","Qamar","Dog 8","Cheetah 5","Dog","Cheetah","Bongwe-Qamar",0.0176452355402289,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug","2012",0,"Hot Dry","Cold Dry","8"
"18","Chalak","Lea2","Chalak","Lea","Leopard 1","Cheetah 3","Leopard","Cheetah","Chalak-Lea",0.295528261192461,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"19","Chalak","MJ","Chalak","MJ","Leopard 1","Dog 20","Leopard","Dog","Chalak-MJ",0.211342667129889,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"20","Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.535811128577488,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"21","Chalak","Qamar2","Chalak","Qamar","Leopard 1","Cheetah 5","Leopard","Cheetah","Chalak-Qamar",0.3918956365753,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"22","Chalak","Yolo2","Chalak","Yolo","Leopard 1","Dog 29","Leopard","Dog","Chalak-Yolo",0.340103477578129,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"23","Chalak","SaF07","Chalak","SaF07","Leopard 1","Lion 12","Leopard","Lion","Chalak-SaF07",0.141892306839674,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"24","Chalak","Ferrari","Chalak","Ferrari","Leopard 1","Cheetah 1","Leopard","Cheetah","Chalak-Ferrari",0.287531300740969,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"25","Chalak","Doohan","Chalak","Doohan","Leopard 1","Lion 4","Leopard","Lion","Chalak-Doohan",0.0863774499814865,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"26","Chalak","Krystal","Chalak","Krystal","Leopard 1","Lion 7","Leopard","Lion","Chalak-Krystal",0.133502990593987,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"27","Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0.00652594225665127,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"28","Chloe1","Lea2","Chloe","Lea","Lion 3","Cheetah 3","Lion","Cheetah","Chloe-Lea",0.0776163483101478,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"29","Chloe1","Goose1","Chloe","Goose","Lion 3","Leopard 3","Lion","Leopard","Chloe-Goose",0.25503456048781,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"30","Chloe1","Kubu","Chloe","Kubu","Lion 3","Dog 18","Lion","Dog","Chloe-Kubu",0.0864552915216235,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"31","Chloe1","Fredericks","Chloe","Fredericks","Lion 3","Cheetah 2","Lion","Cheetah","Chloe-Fredericks",0.0141103488229567,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"32","Doohan","Lea2","Doohan","Lea","Lion 4","Cheetah 3","Lion","Cheetah","Doohan-Lea",0.249164446265652,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"33","Doohan","Fredericks","Doohan","Fredericks","Lion 4","Cheetah 2","Lion","Cheetah","Doohan-Fredericks",0.163741268767419,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"34","Doohan","Ferrari","Doohan","Ferrari","Lion 4","Cheetah 1","Lion","Cheetah","Doohan-Ferrari",0.357479599334018,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"35","Doohan","Qamar2","Doohan","Qamar","Lion 4","Cheetah 5","Lion","Cheetah","Doohan-Qamar",0.0874918835863908,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"36","Ferrari","Kubu","Ferrari","Kubu","Cheetah 1","Dog 18","Cheetah","Dog","Ferrari-Kubu",0.0215554185012218,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Dog","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"37","Ferrari","MJ","Ferrari","MJ","Cheetah 1","Dog 20","Cheetah","Dog","Ferrari-MJ",0.177997361066073,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Dog","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"38","Ferrari","Goose1","Ferrari","Goose","Cheetah 1","Leopard 3","Cheetah","Leopard","Ferrari-Goose",0.0675042426346854,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"39","Ferrari","Krystal","Ferrari","Krystal","Cheetah 1","Lion 7","Cheetah","Lion","Ferrari-Krystal",0.0498408004223981,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"40","Ferrari","Yolo2","Ferrari","Yolo","Cheetah 1","Dog 29","Cheetah","Dog","Ferrari-Yolo",0.182553479348118,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Dog","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"41","Ferrari","SaF07","Ferrari","SaF07","Cheetah 1","Lion 12","Cheetah","Lion","Ferrari-SaF07",0.422693043796242,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"42","Ferrari","SaF03_1","Ferrari","SaF03","Cheetah 1","Lion 10","Cheetah","Lion","Ferrari-SaF03",0.243526361817912,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"43","Fredericks","SaF07","Fredericks","SaF07","Cheetah 2","Lion 12","Cheetah","Lion","Fredericks-SaF07",0.17358719001618,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"44","Fredericks","Goose1","Fredericks","Goose","Cheetah 2","Leopard 3","Cheetah","Leopard","Fredericks-Goose",0.0436240017181474,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Leopard","Aug","2012",0,"Hot Dry","Cold Dry","8"
"45","Fredericks","Kubu","Fredericks","Kubu","Cheetah 2","Dog 18","Cheetah","Dog","Fredericks-Kubu",0.0190888927717123,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug","2012",0,"Hot Dry","Cold Dry","8"
"46","Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0899144377487254,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"47","Goose1","Qamar2","Goose","Qamar","Leopard 3","Cheetah 5","Leopard","Cheetah","Goose-Qamar",0.0378359291971597,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"48","Goose1","Kubu","Goose","Kubu","Leopard 3","Dog 18","Leopard","Dog","Goose-Kubu",0.0277867021440522,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"49","Goose1","Yolo2","Goose","Yolo","Leopard 3","Dog 29","Leopard","Dog","Goose-Yolo",0.0669034248005065,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"50","Goose1","Lea2","Goose","Lea","Leopard 3","Cheetah 3","Leopard","Cheetah","Goose-Lea",0.172470454152874,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Leopard","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"51","Krystal","Lea2","Krystal","Lea","Lion 7","Cheetah 3","Lion","Cheetah","Krystal-Lea",0.0106417163686818,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"52","Krystal","Qamar2","Krystal","Qamar","Lion 7","Cheetah 5","Lion","Cheetah","Krystal-Qamar",0.347662081221649,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"53","Krystal","Yolo2","Krystal","Yolo","Lion 7","Dog 29","Lion","Dog","Krystal-Yolo",0.185978056523339,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"54","Krystal","MJ","Krystal","MJ","Lion 7","Dog 20","Lion","Dog","Krystal-MJ",0.262858171639138,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"55","Kubu","Lea2","Kubu","Lea","Dog 18","Cheetah 3","Dog","Cheetah","Kubu-Lea",0.0726665631514855,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug","2012",0,"Hot Dry","Cold Dry","8"
"56","Lea2","MJ","Lea","MJ","Cheetah 3","Dog 20","Cheetah","Dog","Lea-MJ",0.0353305824069107,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug","2012",0,"Hot Dry","Cold Dry","8"
"57","Lea2","SaF07","Lea","SaF07","Cheetah 3","Lion 12","Cheetah","Lion","Lea-SaF07",0.332832232157987,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"58","Lea2","SaF03_1","Lea","SaF03","Cheetah 3","Lion 10","Cheetah","Lion","Lea-SaF03",0.0939935444580833,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"59","Lea2","Yolo2","Lea","Yolo","Cheetah 3","Dog 29","Cheetah","Dog","Lea-Yolo",0.0426068625750961,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug","2012",0,"Hot Dry","Cold Dry","8"
"60","MJ","SaF03_1","MJ","SaF03","Dog 20","Lion 10","Dog","Lion","MJ-SaF03",0.330670587892588,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Dog-Lion","Aug","2012",0,"Hot Dry","Cold Dry","8"
"61","MJ","Qamar2","MJ","Qamar","Dog 20","Cheetah 5","Dog","Cheetah","MJ-Qamar",0.355231886551402,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Dog","Aug","2012",0,"Hot Dry","Cold Dry","8"
"62","Qamar2","Yolo2","Qamar","Yolo","Cheetah 5","Dog 29","Cheetah","Dog","Qamar-Yolo",0.282612634976893,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Dog","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"63","Qamar2","SaF07","Qamar","SaF07","Cheetah 5","Lion 12","Cheetah","Lion","Qamar-SaF07",0.104602071195065,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"64","Qamar2","SaF03_1","Qamar","SaF03","Cheetah 5","Lion 10","Cheetah","Lion","Qamar-SaF03",0.393689810412876,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"65","SaF03_1","Yolo2","SaF03","Yolo","Lion 10","Dog 29","Lion","Dog","SaF03-Yolo",0.464015172424218,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Dog-Lion","Jun","2012",6.53571428571429,"Cold Dry","Cold Dry","6"
"66","Chalak","SaF08_1","Chalak","SaF08","Leopard 1","Lion 13","Leopard","Lion","Chalak-SaF08",0.218957294601903,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Leopard-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"67","Chalak","Qamar2","Chalak","Qamar","Leopard 1","Cheetah 5","Leopard","Cheetah","Chalak-Qamar",0.266712392376187,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Leopard","Jul","2012",0,"Cold Dry","Cold Dry","7"
"68","Chalak","Lea2","Chalak","Lea","Leopard 1","Cheetah 3","Leopard","Cheetah","Chalak-Lea",0.249162074043773,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Leopard","Jul","2012",0,"Cold Dry","Cold Dry","7"
"69","Chalak","Doohan","Chalak","Doohan","Leopard 1","Lion 4","Leopard","Lion","Chalak-Doohan",0.23259578758581,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Leopard-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"70","Chalak","Fredericks","Chalak","Fredericks","Leopard 1","Cheetah 2","Leopard","Cheetah","Chalak-Fredericks",0.121731837445022,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Leopard","Jul","2012",0,"Cold Dry","Cold Dry","7"
"71","Chalak","Chloe1","Chalak","Chloe","Leopard 1","Lion 3","Leopard","Lion","Chalak-Chloe",0.0563748941020028,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Leopard-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"72","Chalak","Krystal","Chalak","Krystal","Leopard 1","Lion 7","Leopard","Lion","Chalak-Krystal",0.163857544264628,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Leopard-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"73","Chalak","MJ","Chalak","MJ","Leopard 1","Dog 20","Leopard","Dog","Chalak-MJ",0.440365913795585,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Dog-Leopard","Jul","2012",0,"Cold Dry","Cold Dry","7"
"74","Chalak","Ferrari","Chalak","Ferrari","Leopard 1","Cheetah 1","Leopard","Cheetah","Chalak-Ferrari",0.116101736216756,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Cheetah-Leopard","Jul","2012",0,"Cold Dry","Cold Dry","7"
"75","Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.369919031758513,2012,7,"2012-07","Dry","2012 Dry 2",0,0.7,-0.16,0.16,0.16,0,0,138.5,1319.75,511,"Leopard-Lion","Jul","2012",0,"Cold Dry","Cold Dry","7"
"76","Chloe1","Qamar2","Chloe","Qamar","Lion 3","Cheetah 5","Lion","Cheetah","Chloe-Qamar",0.00806398741972007,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"77","Chloe1","Lea2","Chloe","Lea","Lion 3","Cheetah 3","Lion","Cheetah","Chloe-Lea",0.0100432565242243,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"78","Chloe1","Ferrari","Chloe","Ferrari","Lion 3","Cheetah 1","Lion","Cheetah","Chloe-Ferrari",0.0207418238656219,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"79","Chloe1","MJ","Chloe","MJ","Lion 3","Dog 20","Lion","Dog","Chloe-MJ",0.0215518339906487,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Dog-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"80","Chloe1","Kubu","Chloe","Kubu","Lion 3","Dog 18","Lion","Dog","Chloe-Kubu",0.0218515036865895,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Dog-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"81","Chloe1","Goose1","Chloe","Goose","Lion 3","Leopard 3","Lion","Leopard","Chloe-Goose",0.433954466726278,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Leopard-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
"82","Chloe1","Fredericks","Chloe","Fredericks","Lion 3","Cheetah 2","Lion","Cheetah","Chloe-Fredericks",0.0231224116276356,2012,9,"2012-09","Dry","2012 Dry 2",0.91,0.91,-0.7,0.12,0.16,0,0,0,1319.75,503,"Cheetah-Lion","Sep","2012",0.625,"Hot Dry","Hot Dry","9"
